                                                                                                                       
{'loss_mask': 14.117013931274414, 'loss_dice': 45.112327575683594, 'loss_llm': 4.75, 'loss_attention': 0.0, 'loss_itaa': 0.04896910488605499, 'epoch': 0.01}
{'loss_mask': 6.286664962768555, 'loss_dice': 49.267974853515625, 'loss_llm': 4.09375, 'loss_attention': 0.0, 'loss_itaa': 0.050619661808013916, 'epoch': 0.01}
{'loss_mask': 1.480737566947937, 'loss_dice': 9.616450309753418, 'loss_llm': 3.78125, 'loss_attention': 0.0, 'loss_itaa': 0.05152289569377899, 'epoch': 0.01}
{'loss_mask': 7.9214911460876465, 'loss_dice': 49.76061248779297, 'loss_llm': 4.8125, 'loss_attention': 0.0, 'loss_itaa': 0.05546509847044945, 'epoch': 0.01}
{'loss_mask': 5.159387588500977, 'loss_dice': 49.84065628051758, 'loss_llm': 4.25, 'loss_attention': 0.0, 'loss_itaa': 0.04670511186122894, 'epoch': 0.01}
{'loss_mask': 1.8784812688827515, 'loss_dice': 28.05875587463379, 'loss_llm': 4.15625, 'loss_attention': 0.0, 'loss_itaa': 0.04987297207117081, 'epoch': 0.01}
{'loss_mask': 8.448325157165527, 'loss_dice': 36.629737854003906, 'loss_llm': 3.734375, 'loss_attention': 0.0, 'loss_itaa': 0.05170303210616112, 'epoch': 0.01}
{'loss_mask': 15.82935905456543, 'loss_dice': 49.044700622558594, 'loss_llm': 4.0, 'loss_attention': 0.0, 'loss_itaa': 0.05017128959298134, 'epoch': 0.01}
{'loss': 66.1907, 'grad_norm': 437.15870588478435, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.01}
{'loss_mask': 4.545510292053223, 'loss_dice': 49.841365814208984, 'loss_llm': 3.59375, 'loss_attention': 0.0, 'loss_itaa': 0.05322864279150963, 'epoch': 0.01}
{'loss_mask': 8.679805755615234, 'loss_dice': 47.682708740234375, 'loss_llm': 4.1875, 'loss_attention': 0.0, 'loss_itaa': 0.046386878937482834, 'epoch': 0.01}
{'loss_mask': 11.673705101013184, 'loss_dice': 49.15961456298828, 'loss_llm': 5.09375, 'loss_attention': 0.0, 'loss_itaa': 0.05003134906291962, 'epoch': 0.01}
{'loss_mask': 9.772439956665039, 'loss_dice': 49.45819854736328, 'loss_llm': 4.375, 'loss_attention': 0.0, 'loss_itaa': 0.05474827066063881, 'epoch': 0.01}
{'loss_mask': 9.573607444763184, 'loss_dice': 47.5330696105957, 'loss_llm': 3.953125, 'loss_attention': 0.0, 'loss_itaa': 0.0445486456155777, 'epoch': 0.01}
{'loss_mask': 21.260250091552734, 'loss_dice': 29.371328353881836, 'loss_llm': 3.609375, 'loss_attention': 0.0, 'loss_itaa': 0.04598230496048927, 'epoch': 0.01}
